project_name,address,status,total_units,lon,lat,meal_sites_score,meal_sites_nearest,meal_sites_walk_mi,gardens_score,gardens_nearest,gardens_walk_mi,markets_score,markets_nearest,markets_walk_mi,walkability_total,walkability_label
Monument Village*,4101 EDGLEY AVE,Complete,60,-75.217973,39.994283,1,St. Barbara,1.048,0,,,0,,,1,Poor
Pilgrim Gardens Senior,7023 RISING SUN AVE,Complete,62,-75.087448,40.057359,1,Feast for Friends,1.152,0,,,0,,,1,Poor
St. Katharine Drexel Place,11051 ACADEMY ROAD,Under Construction,48,-74.989215,40.084479,0,,,1,Poquessing Creek Park Garden,1.205,0,,,1,Poor
Kearsley,2100 N 49TH ST,Complete,60,-75.223062,39.993245,1,St. Barbara,1.014,0,,,0,,,1,Poor
Keystone Housing,8765 STENTON AVENUE,Complete,19,-75.205659,40.082584,0,,,0,,,0.5,Chestnut Hill Farmers' Market,1.422,0.5,Poor
Inglis Apartments at Belmont I & II,2560 BELMONT AVENUE,Complete,80,-75.219301,39.998873,0.5,St. Barbara,1.399,0,,,0,,,0.5,Poor
Ephraim Goldstein Apartments,12003 BUSTLETON AVE,Complete,63,-75.015216,40.121565,0.5,George Washington High School Pantry,1.433,0,,,0,,,0.5,Poor
Inglis Accessible Housing Initiative,11901-13 ACADEMY RD,Complete,11,-74.982899,40.091205,0,,,0.5,Poquessing Creek Park Garden,1.288,0,,,0.5,Poor
Wingate Street,4424-30 WINGATE STREET,Complete,33,-75.018423,40.041409,0.5,Catholic Social Services Northeast Family Service Center,1.326,0,,,0,,,0.5,Poor
Chandler Supported Living 811,419 CHANDLER ST,Complete,6,-75.085725,40.073665,0,,,0,,,0,,,0,Very Poor
Ivy Residence II,4050 CONSHOHOCKEN AVE,Complete,53,-75.212785,40.001217,0,,,0,,,0,,,0,Very Poor
Fresh Start,4300 MONUMENT RD,Complete,11,-75.21491,39.998044,0,,,0,,,0,,,0,Very Poor
FOP Senior,730 BYBERRY ROAD,Under Construction,106,-75.01355,40.121713,0,,,0,,,0,,,0,Very Poor
