project_name,address,status,total_units,lon,lat,meal_sites_score,meal_sites_nearest,meal_sites_walk_mi,gardens_score,gardens_nearest,gardens_walk_mi,markets_score,markets_nearest,markets_walk_mi,walkability_total,walkability_label
81 E High,81 HIGH ST,Complete,15,-75.176165,40.041462,3,Germantown Community Fridge,0.161,0,,,1.5,Germantown Kitchen Garden,0.812,4.5,Fair
Village Homes,1012 W HUNTINGDON ST,Complete,6,-75.149213,39.991464,2.5,Urban Creators,0.307,0,,,2,4th & Lehigh Farmers Market,0.583,4.5,Fair
Grays Ferry,3100-50 WHARTON STREET,Complete,70,-75.195213,39.937695,2.5,Church of Pentecost,0.471,0.5,Schuylkill River Park Community Garden,1.448,1.5,Point Breeze Community Market,0.935,4.5,Fair
Be A Gem Crossing,3226 GERMANTOWN AVE,Complete,41,-75.148848,40.002081,2.5,Saint John Memorial Baptist Church,0.414,1,Hunting Park Community Garden,1.179,1,4th & Lehigh Farmers Market,1.141,4.5,Fair
Casa Indiana,2935-65 N 2ND ST,Complete,50,-75.134091,39.995024,2.5,Lehigh WIC Office,0.283,0,,,2,4th & Lehigh Farmers Market,0.512,4.5,Fair
Evelyn Saunders Townhouses,3009 N PERCY ST,Complete,49,-75.145429,39.997949,3,Saint John Memorial Baptist Church,0.168,0,,,1.5,4th & Lehigh Farmers Market,0.772,4.5,Fair
Evelyn Saunders Townhouses II,3029 N PERCY ST,Complete,31,-75.145357,39.998278,2.5,Saint John Memorial Baptist Church,0.271,0.5,Hunting Park Community Garden,1.485,1.5,4th & Lehigh Farmers Market,0.876,4.5,Fair
Gratz Commons,2122 N GRATZ ST,Complete,39,-75.163846,39.986316,2.5,Bethel Presbyterian Church,0.396,0.5,Brewerytown Garden,1.429,1.5,Sanctuary Farm Phila,0.769,4.5,Fair
Orinoka Mills,2721-77 RUTH ST,Complete,51,-75.123472,39.990123,3,Community Center at Visitation,0.173,0,,,1.5,4th & Lehigh Farmers Market,0.907,4.5,Fair
Ruth Street Civic House,2721-69 RUTH ST,Complete,44,-75.123472,39.990123,3,Community Center at Visitation,0.173,0,,,1.5,4th & Lehigh Farmers Market,0.907,4.5,Fair
Belmont Affordable V,871 N 42ND ST,Complete,24,-75.207783,39.969298,3,Second Antioch Baptist Church,0.23,0.5,The Neighbors Garden at Hatfield House,1.494,1,52nd & Haverford Farmers Market,1.085,4.5,Fair
South Lehigh Homestart,2302 W CUMBERLAND ST,Complete,10,-75.170079,39.992558,2.5,Dobbins Technical High School,0.351,0.5,Brewerytown Garden,1.364,1.5,Sanctuary Farm Phila,0.984,4.5,Fair
Belmont Affordable,905 BELMONT AVE,Complete,17,-75.211261,39.96989,2.5,Philadelphia Masjid,0.33,0.5,Garden Court Community Garden,1.418,1.5,52nd & Haverford Farmers Market,0.979,4.5,Fair
Belmont Affordable III,920 BELMONT AVE,Complete,46,-75.212086,39.970481,2.5,Philadelphia Masjid,0.277,0.5,Garden Court Community Garden,1.428,1.5,52nd & Haverford Farmers Market,0.989,4.5,Fair
Montana Street,251 MONTANA ST,Complete,11,-75.1805,40.053926,1.5,The H.O.P.E. Food Pantry,0.812,2.5,Pleasant Playground Community Garden,0.314,0.5,Chestnut Hill Farmers' Market,1.407,4.5,Fair
Visitation Transitional Housing,2622-38 KENSINGTON AVE,Complete,18,-75.12657,39.989273,3,Community Center at Visitation,0.03,0,,,1.5,4th & Lehigh Farmers Market,0.752,4.5,Fair
Belmont Affordable IV,4221 PARRISH ST,Complete,11,-75.208689,39.968032,2.5,Second Antioch Baptist Church,0.347,0.5,Garden Court Community Garden,1.408,1.5,52nd & Haverford Farmers Market,0.975,4.5,Fair
Belmont Affordable II,4203 W GIRARD AVE,Complete,20,-75.210075,39.973777,3,West Philadelphia Senior Community Center,0.248,1,The Neighbors Garden at Hatfield House,1.239,0.5,52nd & Haverford Farmers Market,1.3,4.5,Fair
Imani Homes V,3844 HAVERFORD AVE,Complete,11,-75.198903,39.963042,3,Chosen 300 West,0.189,0,,,1.5,University Square,0.862,4.5,Fair
Fattah Homes I,4017 LANCASTER AVE,Complete,6,-75.202767,39.963699,3,Chosen 300 West,0.107,0.5,Garden Court Community Garden,1.46,1,University Square,1.026,4.5,Fair
Bigham Place,4226-32 POWELTON AVE,Complete,11,-75.20702,39.958733,2,UC Hospitality Coalition (Woodland),0.57,1,Garden Court Community Garden,1.062,1.5,Clark Park Farmers Market,0.781,4.5,Fair
Wilmont Meadows,1815 WILMOT ST,Complete,15,-75.07947,40.013836,3,Northeast Baptist Church Oasis Food Ministry,0.213,0,,,1.5,Frankford Transportation Center Farmers Market,0.818,4.5,Fair
Devon Manor,1415 CLEARVIEW ST,Complete,14,-75.145095,40.040804,3,Olney/Logan WIC Office,0.092,1,Fisher Park Roots Garden,1.171,0.5,Germantown Kitchen Garden,1.5,4.5,Fair
Cloisters III,3812-14 HAVERFORD AVE,Complete,50,-75.197733,39.963381,3,Chosen 300 West,0.242,0,,,1.5,University Square,0.81,4.5,Fair
Fattah Homes II,3811-13 HAVERFORD AVE,Complete,6,-75.197695,39.963413,3,Chosen 300 West,0.242,0,,,1.5,University Square,0.81,4.5,Fair
Lawrence Court,3300 N 4TH ST,Complete,50,-75.136712,40.001274,3,Mann Older Adult Center,0.193,0,,,1.5,4th & Lehigh Farmers Market,0.832,4.5,Fair
Mt. Airy Corridor Mixed Use,6513 GERMANTOWN AVE,Complete,3,-75.183454,40.048838,2.5,Brand New Life Christian Center,0.4,1.5,Pleasant Playground Community Garden,0.864,0.5,Grumblethorpe Youth Farmstand,1.459,4.5,Fair
Blakestone Housing,6657 BLAKEMORE ST,Complete,19,-75.177894,40.059767,1.5,The H.O.P.E. Food Pantry,0.868,2.5,Pleasant Playground Community Garden,0.299,0.5,Chestnut Hill Farmers' Market,1.434,4.5,Fair
Homestart Soutwest,5936 CHESTER AVE,Complete,4,-75.23071,39.933943,2,New Disciples Ministries,0.512,1.5,Kingsessing Community Garden,0.913,1,Sankofa Farmstand,1.167,4.5,Fair
HELP Philadelphia,6100 EASTWICK AVE,Complete,63,-75.220629,39.922259,3,Resurrection Community Church,0.221,0,,,1.5,Sankofa Farmstand,0.858,4.5,Fair
Sarah Allen III Senior,4035 PARRISH ST,Complete,123,-75.204928,39.968711,3,Second Antioch Baptist Church,0.22,0.5,The Neighbors Garden at Hatfield House,1.362,1,52nd & Haverford Farmers Market,1.229,4.5,Fair
Ogden Gardens,4033 OGDEN ST,Complete,4,-75.204874,39.96955,3,Second Antioch Baptist Church,0.142,0.5,The Neighbors Garden at Hatfield House,1.342,1,52nd & Haverford Farmers Market,1.235,4.5,Fair
Home in Belmont,4020 PARRISH ST,Complete,8,-75.204821,39.968106,3,Second Antioch Baptist Church,0.231,0.5,The Neighbors Garden at Hatfield House,1.409,1,52nd & Haverford Farmers Market,1.181,4.5,Fair
Mantua Presbyterian 202,600-18 N 34TH ST,Complete,65,-75.191631,39.964083,2.5,Mighty Writers West,0.272,0.5,The Neighbors Garden at Hatfield House,1.252,1.5,University Square,0.882,4.5,Fair
Parkside I,1710 N LINDENWOOD ST,Complete,19,-75.227167,39.980509,3,Parkside Association of Philadelphia,0.249,0,,,1,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),1.157,4,Fair
Philadelphia Preservation - Mission First,4113-43 WARREN STREET,Under Construction,83,-75.206313,39.964825,2.5,Chosen 300 West,0.307,0.5,Garden Court Community Garden,1.297,1,52nd & Haverford Farmers Market,1.03,4,Fair
Horizon House II,6015 LIMEKILN PIKE,Complete,18,-75.147201,40.045432,2.5,Olney/Logan WIC Office,0.402,1,Fisher Park Roots Garden,1.1,0.5,Germantown Kitchen Garden,1.492,4,Fair
Frankford House,1611 RUAN ST,Complete,42,-75.088364,40.010095,3,Padre Pio Prayer Center Food Distribution (St. Joachim),0.203,0,,,1,Frankford Transportation Center Farmers Market,1.172,4,Fair
Centennial Village,1702 N 52ND ST,Complete,52,-75.225139,39.981048,3,Parkside Association of Philadelphia,0.1,0,,,1,Firehouse Senior Center Pop-Ups (only on Aug 14 and Nov 5 &19),1.216,4,Fair
Villas del Caribe,161 WEST ALLEGHENY AVENUE,Complete,81,-75.132026,39.998926,2.5,Mann Older Adult Center,0.365,0,,,1.5,4th & Lehigh Farmers Market,0.838,4,Fair
